"index","associated_dis","associated_dis2","country_name","dis_subtype","dis_type","disaster_no","end_date","insur_dam","iso","location","start_date","total_affected","total_dam","total_deaths"
142,"--","--","Philippines","Tropical cyclone","Storm","1989-0127","02/10/1989","0","PHL","Cagayan, Ilocos Norte, Kalinga-Apayao, Nueva Viscayas provinces","02/10/1989","289191","8000","147"
143,"--","--","Philippines","Tropical cyclone","Storm","1989-0129","07/09/1989","0","PHL","Benguet, Ilocos Norte, Ilocos Sur, Kalinga Apayao, La Union, Zambales","07/09/1989","140021","4300","22"
144,"--","--","Philippines","Tropical cyclone","Storm","1989-0132","22/11/1989","0","PHL","Battan, Bulacan, Pampanga, North Metro Manila, Calauag Popillio Isl., northern Samar, Neava Ecija, Quezon, Rizal, Tarlac provinces","22/11/1989","13050","325","11"
145,"--","--","Philippines","Tropical cyclone","Storm","1989-0187","15/05/1989","0","PHL","","15/05/1989","12937","2860","13"
146,"--","--","Philippines","Tropical cyclone","Storm","1990-0025","22/06/1990","0","PHL","North and Eastern Luzon","22/06/1990","160014","0","64"
147,"--","--","Philippines","Tropical cyclone","Storm","1990-0122","16/11/1990","0","PHL","Samar, Masbate provinces, Palwan, Iloilo, Negros occidental, Cebu","12/11/1990","6159569","388500","503"
148,"--","--","Philippines","Tropical cyclone","Storm","1990-0400","28/08/1990","0","PHL","","28/08/1990","0","0","85"
149,"--","--","Philippines","Tropical cyclone","Storm","1990-0401","30/08/1990","0","PHL","North","30/08/1990","0","0","85"
150,"--","--","Philippines","Tropical cyclone","Storm","1990-0687","08/09/1990","0","PHL","","08/09/1990","0","0","0"
151,"--","--","Philippines","Tropical cyclone","Storm","1991-0174","22/07/1991","0","PHL","Near Tuguegaro (Pinatubo region)","22/07/1991","10000","0","2"
152,"--","--","Philippines","Tropical cyclone","Storm","1991-0382","27/10/1991","19900","PHL","Luzon Isl.","27/10/1991","316038","90000","65"
153,"Flood","Slide (land, mud, sn","Philippines","Tropical cyclone","Storm","1991-0383","08/11/1991","0","PHL","Bago, La Cariota, Bacalod (Negros) and  Leyte","05/11/1991","647254","100000","5956"
154,"--","--","Philippines","Tropical cyclone","Storm","1991-0517","10/07/1991","0","PHL","Catanduanes, Albay, Quezon Provinces (Southern Luzon Isl.)","10/07/1991","505777","85000","47"
155,"--","--","Philippines","Tropical cyclone","Storm","1991-0521","18/07/1991","0","PHL","Pampanga, Tarlac provinces","18/07/1991","2500","0","4"
156,"--","--","Philippines","Tropical cyclone","Storm","1991-0525","26/07/1991","0","PHL","Concepcion, Floridablanca, Manila","26/07/1991","90296","0","9"
157,"Transport accident","--","Philippines","Tropical cyclone","Storm","1992-0295","12/07/1992","0","PHL","Aurora, Zambales, Nueva Ecija, Nueva Vizcaya, Pangasinan, La Union, Benguet, Ifugao, Isabela, Tarlac provinces","11/07/1992","5135","0","22"
158,"Flood","Slide (land, mud, sn","Philippines","Tropical cyclone","Storm","1992-0296","20/07/1992","0","PHL","Regions III and NCR","20/07/1992","134494","0","42"
159,"--","--","Philippines","--","Storm","1992-0491","16/08/1992","0","PHL","Regions III, IV and NCR","16/08/1992","733096","0","26"
160,"--","--","Philippines","Tropical cyclone","Storm","1992-0492","31/08/1992","0","PHL","Luzon Isl.","31/08/1992","173569","0","11"
161,"--","--","Philippines","Tropical cyclone","Storm","1993-0055","26/06/1993","0","PHL","Cordillera autonomous region (including Bagio city), Regions I-IV (including Metro Manilla)","26/06/1993","43735","442","2"
162,"--","--","Philippines","Tropical cyclone","Storm","1993-0077","04/10/1993","0","PHL","Pampanga, Nueva Viscaya, Tarlac, Cagayan, Cavite, Bataan, Bulacan, Pangasinan, Nueva Ecija, Metro Manilla provinces","04/10/1993","1941566","188000","124"
163,"--","--","Philippines","Tropical cyclone","Storm","1993-0087","06/12/1993","0","PHL","Catanduanes, Camarines Sur, Camarines Norte, Albay, Marinduque, Mindoro Oriental, Quezon, Laguna, Batangas, Rizal provinces (Bicol peninsula, Luzon)   Visayas, Masbate, Sorgoson, Occidental Mindoro, Romblon","06/12/1993","1159802","50000","311"
164,"--","--","Philippines","Tropical cyclone","Storm","1993-0088","23/11/1993","0","PHL","","20/11/1993","0","2000","1"
165,"--","--","Philippines","Tropical cyclone","Storm","1993-0228","26/12/1993","0","PHL","Capiz, iloilo, Negros Oriental, Bohol, Cebu, Agusan del Norte, Cagayan de Oro, Caniguin, Southern Leyte, Surigao del Norte, Davao del Norte, Misamis Oriental","26/12/1993","366224","17000","52"
166,"--","--","Philippines","--","Storm","1993-0298","/02/1993","0","PHL","Leyte","/02/1993","70000","40000","28"
167,"--","--","Philippines","--","Storm","1994-0010","06/01/1994","0","PHL","Albay, Sorsogon, Palawan, Marinduque Provinces","06/01/1994","73558","2400","62"
168,"--","--","Philippines","Tropical cyclone","Storm","1994-0034","09/04/1994","0","PHL","Negros Occidental, Cebu, Surigao del Sur, Palawan, Calaian","09/04/1994","105746","0","15"
169,"--","--","Philippines","Tropical cyclone","Storm","1994-0071","19/07/1994","0","PHL","Pampanga, Bulacan, Bataan, Zambales, Tarlac, Ilocos Sur, Olongapo, Angeles","19/07/1994","420728","37600","11"
170,"Flood","--","Philippines","Tropical cyclone","Storm","1994-0072","16/07/1994","0","PHL","La Union, Pangasinan, Ilocos Sur, Ilocos Norte provinces, Laoag city (Luzon)","10/07/1994","166585","1000","17"
171,"--","--","Philippines","Tropical cyclone","Storm","1994-0073","23/06/1994","0","PHL","Metro Manila, Aurora, Nueva Ecija, Pampanga, Tarlac, Zambales provinces (Luzon)","23/06/1994","23952","0","2"
